date,day,day_name,month,month_name,quarter,year,month_year,year_quarter,financial_year,financial_quarter
2022-05-25,25,Wednesday,5,May,Q2,2022,May-2022,2022-Q2,FY2022-23,Q1
2022-05-26,26,Thursday,5,May,Q2,2022,May-2022,2022-Q2,FY2022-23,Q1
2022-05-27,27,Friday,5,May,Q2,2022,May-2022,2022-Q2,FY2022-23,Q1
2022-05-28,28,Saturday,5,May,Q2,2022,May-2022,2022-Q2,FY2022-23,Q1
2022-05-29,29,Sunday,5,May,Q2,2022,May-2022,2022-Q2,FY2022-23,Q1
2022-05-30,30,Monday,5,May,Q2,2022,May-2022,2022-Q2,FY2022-23,Q1
2022-05-31,31,Tuesday,5,May,Q2,2022,May-2022,2022-Q2,FY2022-23,Q1
2022-06-01,1,Wednesday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-02,2,Thursday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-03,3,Friday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-04,4,Saturday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-05,5,Sunday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-06,6,Monday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-07,7,Tuesday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-08,8,Wednesday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-09,9,Thursday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-10,10,Friday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-11,11,Saturday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-12,12,Sunday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-13,13,Monday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-14,14,Tuesday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-15,15,Wednesday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-16,16,Thursday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-17,17,Friday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-18,18,Saturday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-19,19,Sunday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-20,20,Monday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-21,21,Tuesday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-22,22,Wednesday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-23,23,Thursday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-24,24,Friday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-25,25,Saturday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-26,26,Sunday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-27,27,Monday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-28,28,Tuesday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-29,29,Wednesday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-06-30,30,Thursday,6,June,Q2,2022,Jun-2022,2022-Q2,FY2022-23,Q1
2022-07-01,1,Friday,7,July,Q3,2022,Jul-2022,2022-Q3,FY2022-23,Q2
2022-07-02,2,Saturday,7,July,Q3,2022,Jul-2022,2022-Q3,FY2022-23,Q2
2022-07-03,3,Sunday,7,July,Q3,2022,Jul-2022,2022-Q3,FY2022-23,Q2
2022-07-04,4,Monday,7,July,Q3,2022,Jul-2022,2022-Q3,FY2022-23,Q2
2022-07-05,5,Tuesday,7,July,Q3,2022,Jul-2022,2022-Q3,FY2022-23,Q2
2022-07-06,6,Wednesday,7,July,Q3,2022,Jul-2022,2022-Q3,FY2022-23,Q2
2022-07-07,7,Thursday,7,July,Q3,2022,Jul-2022,2022-Q3,FY2022-23,Q2
2022-07-08,8,Friday,7,July,Q3,2022,Jul-2022,2022-Q3,FY2022-23,Q2
2022-07-09,9,Saturday,7,July,Q3,2022,Jul-2022,2022-Q3,FY2022-23,Q2
2022-07-10,10,Sunday,7,July,Q3,2022,Jul-2022,2022-Q3,FY2022-23,Q2
2022-07-11,11,Monday,7,July,Q3,2022,Jul-2022,2022-Q3,FY2022-23,Q2
2022-07-12,12,Tuesday,7,July,Q3,2022,Jul-2022,2022-Q3,FY2022-23,Q2
2022-07-13,13,Wednesday,7,July,Q3,2022,Jul-2022,2022-Q3,FY2022-23,Q2
